NEODEN,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,93.56,1-Y,15.89,OverallOffsetX,0,OverallOffsetY,0,
,,,,,,,,,,,,,
NozzleChange,ON,BeforeComponent,53,Head2,Drop,Station1,PickUp,Station2,
NozzleChange,ON,BeforeComponent,57,Head2,Drop,Station2,PickUp,Station3,
NozzleChange,OFF,BeforeComponent,1,Head2,Drop,Station3,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
R33,7k32,CN065-0805,31.58,20.25,90.00,1,10,100,0.0,0.7,3,0
R34,7k32,CN065-0805,31.00,13.40,0.00,2,10,100,0.0,0.7,3,0
R15,5M1,CN065-1206,75.00,27.30,0.00,1,6,100,0.0,0.6,3,0
Q2,NMOS,CN065-SOT,74.30,16.75,-90.00,2,8,100,0.0,0.8,3,0
Q3,NMOS,CN065-SOT,75.50,21.75,-90.00,1,8,100,0.0,0.8,3,0
D4,SOD-123/Ze,CN065-SOD,71.75,3.50,0.00,2,48,100,0.0,1.0,3,0
U2,LM4040DBZ-,CN065-SOT,67.50,2.75,90.00,1,1,100,0.0,0.8,3,1
R16,DNP,CN065-0805,114.50,9.75,0.00,2,1,100,0.0,0.7,3,1
R18,DNP,CN065-0805,122.25,3.50,0.00,1,1,100,0.0,0.7,3,1
R5,DNP,CN065-0805,123.50,9.75,0.00,2,1,100,0.0,0.7,3,1
C5,22u,CN140-1210,80.00,20.25,0.00,2,3,100,0.0,2.6,3,0
U5,74LVC125,CN140-SOIC,23.75,15.00,90.00,2,45,100,0.0,1.6,3,0
Q1,HV-NMOS,CN140-TO25,86.50,23.40,0.00,2,44,70,0.0,2.3,4,0
U1,APV1121S,CN140-SOP,66.50,28.00,-90.00,2,19,70,0.0,2.0,4,0
U3,SFH620A-2X,CN220-SMDI,62.44,22.00,-90.00,2,55,70,3.0,4.2,4,0
U4,SFH620A-2X,CN220-SMDI,62.44,15.75,-90.00,2,55,70,3.0,4.2,4,0
