NEODEN,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,110.18,1-Y,201.60,OverallOffsetX,0,OverallOffsetY,0,
,,,,,,,,,,,,,
NozzleChange,ON,BeforeComponent,481,Head2,Drop,Station1,PickUp,Station2,
NozzleChange,ON,BeforeComponent,625,Head2,Drop,Station2,PickUp,Station3,
NozzleChange,ON,BeforeComponent,646,Head2,Drop,Station3,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X(mm),Mid Y(mm) ,Rotation,Head ,FeederNo,Mount Speed(%),Pick Height(mm),Place Height(mm),Mode,Skip
C35,100n,CN065-0805,127.20,324.07,90.00,2,13,100,0.0,1.3,3,0
C49,100n,CN065-0805,128.73,336.04,90.00,1,13,100,0.0,1.3,3,0
C50,100n,CN065-0805,124.60,349.25,90.00,2,13,100,0.0,1.3,3,0
C104,100n,CN065-0805,44.52,59.50,0.00,1,13,100,0.0,1.3,3,0
C165,100n,CN065-0805,132.75,65.25,0.00,2,13,100,0.0,1.3,3,0
C36,100n,CN065-0805,130.00,319.95,90.00,1,13,100,0.0,1.3,3,0
C43,100n,CN065-0805,132.50,319.95,90.00,2,13,100,0.0,1.3,3,0
C37,100n,CN065-0805,135.00,319.95,90.00,1,13,100,0.0,1.3,3,0
C44,100n,CN065-0805,137.50,319.95,90.00,2,13,100,0.0,1.3,3,0
C38,100n,CN065-0805,140.00,319.95,90.00,1,13,100,0.0,1.3,3,0
C45,100n,CN065-0805,142.50,319.95,90.00,2,13,100,0.0,1.3,3,0
C10,100n,CN065-0805,138.50,267.75,90.00,1,13,100,0.0,1.3,3,0
C4,100n,CN065-0805,143.50,267.75,90.00,2,13,100,0.0,1.3,3,0
C39,100n,CN065-0805,145.00,319.95,90.00,1,13,100,0.0,1.3,3,0
C63,100n,CN065-0805,30.00,315.25,90.00,2,13,100,0.0,1.3,3,0
C46,100n,CN065-0805,147.50,320.00,90.00,1,13,100,0.0,1.3,3,0
C40,100n,CN065-0805,150.00,320.00,90.00,2,13,100,0.0,1.3,3,0
C47,100n,CN065-0805,152.50,320.00,90.00,1,13,100,0.0,1.3,3,0
C41,100n,CN065-0805,155.00,315.75,90.00,2,13,100,0.0,1.3,3,0
C14,100n,CN065-0805,131.50,47.33,90.00,1,13,100,0.0,1.3,3,0
Q52,PMOS,CN065-SOT-,24.82,70.80,90.00,1,12,100,0.0,1.0,3,0
Q51,PMOS,CN065-SOT-,28.92,70.80,90.00,2,12,100,0.0,1.0,3,0
Q50,PMOS,CN065-SOT-,33.02,70.80,90.00,1,12,100,0.0,1.0,3,0
Q49,PMOS,CN065-SOT-,37.12,70.80,90.00,2,12,100,0.0,1.0,3,0
Q48,PMOS,CN065-SOT-,41.22,70.80,90.00,1,12,100,0.0,1.0,3,0
Q47,PMOS,CN065-SOT-,45.32,70.80,90.00,2,12,100,0.0,1.0,3,0
Q53,PMOS,CN065-SOT-,68.01,88.63,0.00,1,12,100,0.0,1.0,3,0
Q54,PMOS,CN065-SOT-,68.01,92.73,0.00,2,12,100,0.0,1.0,3,0
Q55,PMOS,CN065-SOT-,68.01,96.83,0.00,1,12,100,0.0,1.0,3,0
Q56,PMOS,CN065-SOT-,68.01,100.93,0.00,2,12,100,0.0,1.0,3,0
Q57,PMOS,CN065-SOT-,68.01,105.03,0.00,1,12,100,0.0,1.0,3,0
Q58,PMOS,CN065-SOT-,68.01,109.13,0.00,2,12,100,0.0,1.0,3,0
Q60,PMOS,CN065-SOT-,41.00,125.95,0.00,1,12,100,0.0,1.0,3,0
Q61,PMOS,CN065-SOT-,41.00,130.00,0.00,2,12,100,0.0,1.0,3,0
Q62,PMOS,CN065-SOT-,41.00,134.15,0.00,1,12,100,0.0,1.0,3,0
Q63,PMOS,CN065-SOT-,41.00,138.20,0.00,2,12,100,0.0,1.0,3,0
Q64,PMOS,CN065-SOT-,41.00,142.35,0.00,1,12,100,0.0,1.0,3,0
Q65,PMOS,CN065-SOT-,41.00,146.40,0.00,2,12,100,0.0,1.0,3,0
Q66,PMOS,CN065-SOT-,41.00,150.50,0.00,1,12,100,0.0,1.0,3,0
Q67,PMOS,CN065-SOT-,41.00,154.65,0.00,2,12,100,0.0,1.0,3,0
Q68,PMOS,CN065-SOT-,41.00,158.70,0.00,1,12,100,0.0,1.0,3,0
Q69,PMOS,CN065-SOT-,41.00,162.80,0.00,2,12,100,0.0,1.0,3,0
Q70,PMOS,CN065-SOT-,41.00,166.90,0.00,1,12,100,0.0,1.0,3,0
Q71,PMOS,CN065-SOT-,41.00,171.00,0.00,2,12,100,0.0,1.0,3,0
Q34,PMOS,CN065-SOT-,15.95,191.25,-90.00,1,12,100,0.0,1.0,3,0
Q35,PMOS,CN065-SOT-,20.15,191.25,-90.00,2,12,100,0.0,1.0,3,0
Q36,PMOS,CN065-SOT-,24.25,191.25,-90.00,1,12,100,0.0,1.0,3,0
Q37,PMOS,CN065-SOT-,28.35,191.25,-90.00,2,12,100,0.0,1.0,3,0
Q38,PMOS,CN065-SOT-,32.45,191.25,-90.00,1,12,100,0.0,1.0,3,0
Q39,PMOS,CN065-SOT-,36.55,191.25,-90.00,2,12,100,0.0,1.0,3,0
Q40,PMOS,CN065-SOT-,40.65,191.25,-90.00,1,12,100,0.0,1.0,3,0
Q41,PMOS,CN065-SOT-,44.75,191.25,-90.00,2,12,100,0.0,1.0,3,0
Q42,PMOS,CN065-SOT-,48.85,191.25,-90.00,1,12,100,0.0,1.0,3,0
Q43,PMOS,CN065-SOT-,52.95,191.25,-90.00,2,12,100,0.0,1.0,3,0
Q44,PMOS,CN065-SOT-,57.05,191.25,-90.00,1,12,100,0.0,1.0,3,0
Q45,PMOS,CN065-SOT-,61.30,191.25,-90.00,2,12,100,0.0,1.0,3,0
Q21,PMOS,CN065-SOT-,12.55,271.65,-90.00,1,12,100,0.0,1.0,3,0
Q22,PMOS,CN065-SOT-,16.55,271.65,-90.00,2,12,100,0.0,1.0,3,0
Q23,PMOS,CN065-SOT-,20.75,271.65,-90.00,1,12,100,0.0,1.0,3,0
Q24,PMOS,CN065-SOT-,24.85,271.65,-90.00,2,12,100,0.0,1.0,3,0
Q25,PMOS,CN065-SOT-,28.95,271.65,-90.00,1,12,100,0.0,1.0,3,0
Q26,PMOS,CN065-SOT-,33.05,271.65,-90.00,2,12,100,0.0,1.0,3,0
Q14,PMOS,CN065-SOT-,142.50,287.00,-90.00,1,12,100,0.0,1.0,3,0
Q8,PMOS,CN065-SOT-,130.50,287.00,-90.00,2,12,100,0.0,1.0,3,0
Q10,PMOS,CN065-SOT-,134.50,287.00,-90.00,1,12,100,0.0,1.0,3,0
Q12,PMOS,CN065-SOT-,138.50,287.00,-90.00,2,12,100,0.0,1.0,3,0
Q16,PMOS,CN065-SOT-,146.50,287.00,-90.00,1,12,100,0.0,1.0,3,0
Q18,PMOS,CN065-SOT-,150.50,287.00,-90.00,2,12,100,0.0,1.0,3,0
Q19,PMOS,CN065-SOT-,154.50,287.00,-90.00,1,12,100,0.0,1.0,3,0
Q11,PMOS,CN065-SOT-,136.50,302.50,-90.00,2,12,100,0.0,1.0,3,0
Q13,PMOS,CN065-SOT-,141.50,302.50,-90.00,1,12,100,0.0,1.0,3,0
Q15,PMOS,CN065-SOT-,146.50,302.50,-90.00,2,12,100,0.0,1.0,3,0
Q17,PMOS,CN065-SOT-,151.50,302.50,-90.00,1,12,100,0.0,1.0,3,0
Q9,PMOS,CN065-SOT-,131.50,302.50,-90.00,2,12,100,0.0,1.0,3,0
Q32,PMOS,CN065-SOT-,34.35,327.45,90.00,1,12,100,0.0,1.0,3,0
Q31,PMOS,CN065-SOT-,38.45,327.45,90.00,2,12,100,0.0,1.0,3,0
Q30,PMOS,CN065-SOT-,42.55,327.45,90.00,1,12,100,0.0,1.0,3,0
Q29,PMOS,CN065-SOT-,46.65,327.45,90.00,2,12,100,0.0,1.0,3,0
Q28,PMOS,CN065-SOT-,50.75,327.45,90.00,1,12,100,0.0,1.0,3,0
Q27,PMOS,CN065-SOT-,54.85,327.45,90.00,2,12,100,0.0,1.0,3,0
Q77,PMOS,CN065-SOT-,68.75,244.50,180.00,1,12,100,0.0,1.0,3,0
Q75,PMOS,CN065-SOT-,127.25,125.25,90.00,2,12,100,0.0,1.0,3,0
C121,1u,CN065-0805,16.25,42.00,0.00,1,11,100,0.0,1.5,3,0
C120,1u,CN065-0805,12.25,42.00,0.00,2,11,100,0.0,1.5,3,0
C137,1u,CN065-0805,30.75,99.00,0.00,1,11,100,0.0,1.5,3,0
C119,1u,CN065-0805,28.50,51.25,90.00,2,11,100,0.0,1.5,3,0
C24,1u,CN065-0805,131.00,77.50,0.00,1,11,100,0.0,1.5,3,0
C11,1u,CN065-0805,132.06,54.25,0.00,2,11,100,0.0,1.5,3,0
C139,1u,CN065-0805,33.75,102.25,0.00,1,11,100,0.0,1.5,3,0
C138,1u,CN065-0805,30.00,102.25,90.00,2,11,100,0.0,1.5,3,0
C180,1u,CN065-0805,121.75,103.75,90.00,1,11,100,0.0,1.5,3,0
C145,1u,CN065-0805,118.65,103.75,90.00,2,11,100,0.0,1.5,3,0
C147,1u,CN065-0805,44.25,37.25,90.00,1,11,100,0.0,1.5,3,0
C21,1u,CN065-0805,129.75,128.25,0.00,2,11,100,0.0,1.5,3,0
C168,1u,CN065-0805,75.75,231.50,0.00,1,11,100,0.0,1.5,3,0
C1,1u,CN065-0805,105.75,222.00,0.00,2,11,100,0.0,1.5,3,0
C12,1u,CN065-0805,89.75,222.75,0.00,1,11,100,0.0,1.5,3,0
C5,1u,CN065-0805,85.95,222.75,0.00,2,11,100,0.0,1.5,3,0
C99,1u,CN065-0805,30.95,223.08,90.00,1,11,100,0.0,1.5,3,0
C100,1u,CN065-0805,27.50,223.00,0.00,2,11,100,0.0,1.5,3,0
C7,1u,CN065-0805,80.75,222.75,0.00,1,11,100,0.0,1.5,3,0
C155,1u,CN065-0805,60.25,223.50,0.00,2,11,100,0.0,1.5,3,0
C102,1u,CN065-0805,64.25,223.50,0.00,1,11,100,0.0,1.5,3,0
C101,1u,CN065-0805,68.25,223.50,0.00,2,11,100,0.0,1.5,3,0
C6,1u,CN065-0805,83.75,225.25,0.00,1,11,100,0.0,1.5,3,0
C9,1u,CN065-0805,77.89,225.61,90.00,2,11,100,0.0,1.5,3,0
C98,1u,CN065-0805,29.00,226.00,0.00,1,11,100,0.0,1.5,3,0
C158,1u,CN065-0805,60.25,228.50,0.00,2,11,100,0.0,1.5,3,0
C157,1u,CN065-0805,64.25,228.50,0.00,1,11,100,0.0,1.5,3,0
C156,1u,CN065-0805,68.25,228.50,0.00,2,11,100,0.0,1.5,3,0
C164,1u,CN065-0805,87.75,229.50,0.00,1,11,100,0.0,1.5,3,0
C166,1u,CN065-0805,83.75,230.25,0.00,2,11,100,0.0,1.5,3,0
C2,1u,CN065-0805,141.50,230.75,0.00,1,11,100,0.0,1.5,3,0
C144,1u,CN065-0805,117.75,211.25,0.00,2,11,100,0.0,1.5,3,0
C167,1u,CN065-0805,79.75,231.50,0.00,1,11,100,0.0,1.5,3,0
C13,1u,CN065-0805,94.15,263.65,90.00,2,11,100,0.0,1.5,3,0
C76,1u,CN065-0805,25.89,307.00,90.00,1,11,100,0.0,1.5,3,0
C75,1u,CN065-0805,24.65,311.25,90.00,2,11,100,0.0,1.5,3,0
C51,1u,CN065-0805,143.25,344.00,90.00,1,11,100,0.0,1.5,3,0
C54,1u,CN065-0805,139.25,341.05,0.00,2,11,100,0.0,1.5,3,0
C74,1u,CN065-0805,27.38,311.25,90.00,1,11,100,0.0,1.5,3,0
C53,1u,CN065-0805,139.83,344.50,0.00,2,11,100,0.0,1.5,3,0
R171,7k32,CN065-0805,27.50,291.50,0.00,1,10,100,0.0,0.7,3,0
R218,7k32,CN065-0805,17.25,229.25,0.00,2,10,100,0.0,0.7,3,0
R264,7k32,CN065-0805,8.50,42.75,90.00,1,10,100,0.0,0.7,3,0
R305,7k32,CN065-0805,43.25,96.00,0.00,2,10,100,0.0,0.7,3,0
R39,7k32,CN065-0805,57.50,234.25,0.00,1,10,100,0.0,0.7,3,0
R47,7k32,CN065-0805,76.50,222.75,0.00,2,10,100,0.0,0.7,3,0
R26,7k32,CN065-0805,75.00,245.25,0.00,1,10,100,0.0,0.7,3,0
R42,7k32,CN065-0805,76.19,248.33,0.00,2,10,100,0.0,0.7,3,0
